name,location,elevation,rockType
Mingus Mountain,Arizona,7818,Percambrain rocks
Granite Mountain,Arizona,7628,Granodiorite
McDowell Mountain,Arizona,4057,Ash-flow tuff
White Mountain,New Hampshire,6288,Red Hill Syenite
Deer Mountain,New York,2260,Semi loose rock
Catawba mountain,Virginia,3197,sandstone
Mount San Antonio,California,10064,Basalt
Castle Peak,California,9109,Basalt
Mount Olympus,Utah,9030,Pete’s rock
Cloud Peak,Wyoming,13171,Paint rock
Mount Woodson,California,2901,Granite
Mount Whitney,California,14505,Granite
Mount Hood,Oregon,11249,Basalt
Smugglers Notch,Vermont,2165,Schist
Bolton,Vermont,3688,Granodiorite
Clark Mountain,California,7933,Limestone
Deception Peak,New Mexico,12320,Precambrian
Tumbledown Mountain,Maine,3054,Granite
Beech Mountain,Maine,839,Granite
Mount Conness,California,12590,Granite
Mount Sanitas,Colorado ,6105,Sandstone
Mount Yonah,Georgia,3098,Granite
Mount Scott,Oklahoma,2354,Sandstone
Mount Helena,Montana,3875,Sandstone
Mount Charleston,Nevada,7510,Limestone
Wheeler Mountain,Vermont,2371,Granite
Ragged Mountain,Connecticut,761,Traprock
Hualapai Wall,Arizona,430,Gneiss
Devils Tower,Wyoming,240,Basalt
Little River Canyon,Alabama,98,Sandstone
